codigo_instituicao,instituicao,codigo_curso,curso,vagas_iniciais,colocados,nota_ultimo_colocado,vagas_sobrantes,ano,fase,taxa_ocupacao,nome_universidade,nome_faculdade,course_id
0807,Universidade Técnica de Lisboa - Instituto Superior Técnico,0224,Engenharia Biológica,60.0,60.0,139.3,0.0,2004,1,1.0,Universidade Técnica de Lisboa,Instituto Superior Técnico,0224_0807
0205,Universidade do Algarve - Faculdade de Engenharia de Recursos Naturais,0226,Engenharia Biotecnológica,30.0,16.0,114.2,14.0,2004,1,0.5333333333333333,Universidade do Algarve,Faculdade de Engenharia de Recursos Naturais,0226_0205
0501,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,0233,Engenharia Civil,120.0,120.0,106.5,0.0,2004,1,1.0,Universidade de Coimbra,Faculdade de Ciências e Tecnologia,0233_0501
0807,Universidade Técnica de Lisboa - Instituto Superior Técnico,0233,Engenharia Civil,175.0,175.0,152.0,0.0,2004,1,1.0,Universidade Técnica de Lisboa,Instituto Superior Técnico,0233_0807
0903,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,0233,Engenharia Civil,130.0,130.0,128.2,0.0,2004,1,1.0,Universidade Nova de Lisboa,Faculdade de Ciências e Tecnologia,0233_0903
1105,Universidade do Porto - Faculdade de Engenharia,0233,Engenharia Civil,180.0,180.0,141.5,0.0,2004,1,1.0,Universidade do Porto,Faculdade de Engenharia,0233_1105
0130,Universidade dos Açores - Ponta Delgada,0234,Engenharia Civil (Preparatórios),10.0,9.0,106.8,1.0,2004,1,0.9,Universidade dos Açores,Ponta Delgada,0234_0130
3012,Universidade de Aveiro - Escola Superior de Tecnologia e Gestão de Águeda,0247,Engenharia Electrotécnica,15.0,14.0,101.0,1.0,2004,1,0.9333333333333333,Universidade de Aveiro,Escola Superior de Tecnologia e Gestão de Águeda,0247_3012
3012,Universidade de Aveiro - Escola Superior de Tecnologia e Gestão de Águeda,0251,Engenharia Electromecânica,10.0,10.0,101.8,0.0,2004,1,1.0,Universidade de Aveiro,Escola Superior de Tecnologia e Gestão de Águeda,0251_3012
0501,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,0255,Engenharia Electrotécnica e de Computadores,110.0,110.0,111.3,0.0,2004,1,1.0,Universidade de Coimbra,Faculdade de Ciências e Tecnologia,0255_0501
0807,Universidade Técnica de Lisboa - Instituto Superior Técnico,0255,Engenharia Electrotécnica e de Computadores,225.0,225.0,124.0,0.0,2004,1,1.0,Universidade Técnica de Lisboa,Instituto Superior Técnico,0255_0807
0903,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,0255,Engenharia Electrotécnica e de Computadores,105.0,105.0,111.4,0.0,2004,1,1.0,Universidade Nova de Lisboa,Faculdade de Ciências e Tecnologia,0255_0903
1105,Universidade do Porto - Faculdade de Engenharia,0255,Engenharia Electrotécnica e de Computadores,200.0,200.0,126.5,0.0,2004,1,1.0,Universidade do Porto,Faculdade de Engenharia,0255_1105
0501,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,0264,Engenharia Física,15.0,13.0,126.8,2.0,2004,1,0.8666666666666667,Universidade de Coimbra,Faculdade de Ciências e Tecnologia,0264_0501
0701,Universidade de Lisboa - Faculdade de Ciências,0264,Engenharia Física,30.0,8.0,118.5,22.0,2004,1,0.26666666666666666,Universidade de Lisboa,Faculdade de Ciências,0264_0701
0903,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,0264,Engenharia Física,20.0,8.0,110.8,12.0,2004,1,0.4,Universidade Nova de Lisboa,Faculdade de Ciências e Tecnologia,0264_0903
1103,Universidade do Porto - Faculdade de Ciências,0270,Engenharia das Ciências Agrárias,30.0,8.0,103.0,22.0,2004,1,0.26666666666666666,Universidade do Porto,Faculdade de Ciências,0270_1103
0807,Universidade Técnica de Lisboa - Instituto Superior Técnico,0272,Engenharia Física Tecnológica,45.0,36.0,122.3,9.0,2004,1,0.8,Universidade Técnica de Lisboa,Instituto Superior Técnico,0272_0807
1105,Universidade do Porto - Faculdade de Engenharia,0275,Engenharia Informática e Computação,90.0,90.0,144.5,0.0,2004,1,1.0,Universidade do Porto,Faculdade de Engenharia,0275_1105
0501,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,0280,Engenharia Geográfica,15.0,1.0,117.5,14.0,2004,1,0.06666666666666667,Universidade de Coimbra,Faculdade de Ciências e Tecnologia,0280_0501
0701,Universidade de Lisboa - Faculdade de Ciências,0280,Engenharia Geográfica,35.0,6.0,104.0,29.0,2004,1,0.17142857142857143,Universidade de Lisboa,Faculdade de Ciências,0280_0701
1103,Universidade do Porto - Faculdade de Ciências,0280,Engenharia Geográfica,15.0,10.0,108.5,5.0,2004,1,0.6666666666666666,Universidade do Porto,Faculdade de Ciências,0280_1103
0903,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,0284,Engenharia Geológica,35.0,14.0,111.6,21.0,2004,1,0.4,Universidade Nova de Lisboa,Faculdade de Ciências e Tecnologia,0284_0903
3122,Instituto Politécnico de Portalegre - Escola Superior de Tecnologia e Gestão de Portalegre,0286,Engenharia Informática,35.0,10.0,99.2,25.0,2004,1,0.2857142857142857,Instituto Politécnico de Portalegre,Escola Superior de Tecnologia e Gestão de Portalegre,0286_3122
0808,Universidade Técnica de Lisboa - Instituto Superior Técnico (instalações no Tagus Park),0290,Engenharia e Gestão Industrial,35.0,35.0,130.0,0.0,2004,1,1.0,Universidade Técnica de Lisboa,Instituto Superior Técnico (instalações no Tagus Park),0290_0808
0903,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,0290,Engenharia e Gestão Industrial,50.0,42.0,108.0,8.0,2004,1,0.84,Universidade Nova de Lisboa,Faculdade de Ciências e Tecnologia,0290_0903
0501,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,0292,Engenharia Informática,80.0,80.0,134.0,0.0,2004,1,1.0,Universidade de Coimbra,Faculdade de Ciências e Tecnologia,0292_0501
0903,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,0292,Engenharia Informática,160.0,129.0,130.2,31.0,2004,1,0.80625,Universidade Nova de Lisboa,Faculdade de Ciências e Tecnologia,0292_0903
0807,Universidade Técnica de Lisboa - Instituto Superior Técnico,0294,Engenharia Informática e de Computadores,170.0,170.0,142.5,0.0,2004,1,1.0,Universidade Técnica de Lisboa,Instituto Superior Técnico,0294_0807
0808,Universidade Técnica de Lisboa - Instituto Superior Técnico (instalações no Tagus Park),0294,Engenharia Informática e de Computadores,110.0,110.0,125.5,0.0,2004,1,1.0,Universidade Técnica de Lisboa,Instituto Superior Técnico (instalações no Tagus Park),0294_0808
0501,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,0302,Engenharia de Materiais,15.0,5.0,118.8,10.0,2004,1,0.3333333333333333,Universidade de Coimbra,Faculdade de Ciências e Tecnologia,0302_0501
0807,Universidade Técnica de Lisboa - Instituto Superior Técnico,0302,Engenharia de Materiais,10.0,7.0,120.5,3.0,2004,1,0.7,Universidade Técnica de Lisboa,Instituto Superior Técnico,0302_0807
0501,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,0304,Engenharia Mecânica,70.0,56.0,107.0,14.0,2004,1,0.8,Universidade de Coimbra,Faculdade de Ciências e Tecnologia,0304_0501
0807,Universidade Técnica de Lisboa - Instituto Superior Técnico,0304,Engenharia Mecânica,115.0,115.0,138.8,0.0,2004,1,1.0,Universidade Técnica de Lisboa,Instituto Superior Técnico,0304_0807
0903,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,0304,Engenharia Mecânica,45.0,45.0,116.6,0.0,2004,1,1.0,Universidade Nova de Lisboa,Faculdade de Ciências e Tecnologia,0304_0903
1105,Universidade do Porto - Faculdade de Engenharia,0304,Engenharia Mecânica,115.0,115.0,125.8,0.0,2004,1,1.0,Universidade do Porto,Faculdade de Engenharia,0304_1105
0903,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,0314,Engenharia dos Materiais,30.0,8.0,111.0,22.0,2004,1,0.26666666666666666,Universidade Nova de Lisboa,Faculdade de Ciências e Tecnologia,0314_0903
1105,Universidade do Porto - Faculdade de Engenharia,0315,Engenharia Metalúrgica e de Materiais,25.0,13.0,105.8,12.0,2004,1,0.52,Universidade do Porto,Faculdade de Engenharia,0315_1105
0501,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,0331,Engenharia Química,45.0,35.0,113.8,10.0,2004,1,0.7777777777777778,Universidade de Coimbra,Faculdade de Ciências e Tecnologia,0331_0501
0807,Universidade Técnica de Lisboa - Instituto Superior Técnico,0331,Engenharia Química,75.0,64.0,120.0,11.0,2004,1,0.8533333333333334,Universidade Técnica de Lisboa,Instituto Superior Técnico,0331_0807
0903,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,0331,Engenharia Química,50.0,19.0,112.6,31.0,2004,1,0.38,Universidade Nova de Lisboa,Faculdade de Ciências e Tecnologia,0331_0903
1105,Universidade do Porto - Faculdade de Engenharia,0331,Engenharia Química,70.0,70.0,137.5,0.0,2004,1,1.0,Universidade do Porto,Faculdade de Engenharia,0331_1105
3023,Instituto Politécnico de Beja - Escola Superior de Tecnologia e Gestão de Beja,0339,Engenharia Topográfica,25.0,7.0,95.3,18.0,2004,1,0.28,Instituto Politécnico de Beja,Escola Superior de Tecnologia e Gestão de Beja,0339_3023
3083,Universidade do Algarve - Escola Superior de Tecnologia de Faro,0339,Engenharia Topográfica,25.0,8.0,103.0,17.0,2004,1,0.32,Universidade do Algarve,Escola Superior de Tecnologia de Faro,0339_3083
3092,Instituto Politécnico da Guarda - Escola Superior de Tecnologia e Gestão da Guarda,0339,Engenharia Topográfica,19.0,8.0,111.9,11.0,2004,1,0.42105263157894735,Instituto Politécnico da Guarda,Escola Superior de Tecnologia e Gestão da Guarda,0339_3092
0203,Universidade do Algarve - Faculdade de Ciências e Tecnologia,0340,Engenharia de Sistemas e Informática,35.0,35.0,116.8,0.0,2004,1,1.0,Universidade do Algarve,Faculdade de Ciências e Tecnologia,0340_0203
0807,Universidade Técnica de Lisboa - Instituto Superior Técnico,0345,Engenharia do Território,20.0,20.0,137.0,0.0,2004,1,1.0,Universidade Técnica de Lisboa,Instituto Superior Técnico,0345_0807
0803,Universidade Técnica de Lisboa - Instituto Superior de Agronomia,0347,Engenharia Zootécnica,40.0,40.0,111.3,0.0,2004,1,1.0,Universidade Técnica de Lisboa,Instituto Superior de Agronomia,0347_0803
0806,Universidade Técnica de Lisboa - Faculdade de Motricidade Humana,0354,Ergonomia,25.0,25.0,115.0,0.0,2004,1,1.0,Universidade Técnica de Lisboa,Faculdade de Motricidade Humana,0354_0806
0701,Universidade de Lisboa - Faculdade de Ciências,0356,Estatística e Investigação Operacional,89.0,12.0,106.0,77.0,2004,1,0.1348314606741573,Universidade de Lisboa,Faculdade de Ciências,0356_0701
0505,Universidade de Coimbra - Faculdade de Letras,0360,Filosofia,40.0,29.0,107.0,11.0,2004,1,0.725,Universidade de Coimbra,Faculdade de Letras,0360_0505
